Date,Product,Category,Region,Units_Sold,Revenue,Discount_Pct,Rating
2025-01-01,Desk Lamp,Home,North,6,250.02,7.4,1.6
2025-01-02,Throw Pillow,Home,East,12,355.32,1.3,4.7
2025-01-03,Throw Pillow,Home,East,22,453.42,31.3,2
2025-01-04,Jeans,Clothing,East,38,2202.48,3.4,2.8
2025-01-05,Olive Oil,Food,East,21,187.49,25.6,2.2
2025-01-06,T-Shirt,Clothing,West,48,1104,8,2.2
2025-01-07,T-Shirt,Clothing,West,26,563.55,13.3,4.2
2025-01-08,Laptop,Electronics,North,50,59340,1.1,3.2
2025-01-09,Throw Pillow,Home,Central,49,1164.24,20.8,4.5
2025-01-10,Laptop,Electronics,East,131,148396.8,5.6,3
2025-01-11,Coffee Beans,Food,Central,56,922.32,8.5,4.7
2025-01-12,Jeans,Clothing,North,39,2068.56,11.6,2.9
2025-01-13,Desk Lamp,Home,South,127,3771.9,34,4.4
2025-01-14,Smartphone,Electronics,Central,76,58793.6,3.3,2.4
2025-01-15,Throw Pillow,Home,East,23,618.24,10.4,4.2
2025-01-16,T-Shirt,Clothing,North,102,2348.55,7.9,2.9
2025-01-17,Olive Oil,Food,East,81,664.85,31.6,3.7
2025-01-18,Olive Oil,Food,Central,81,883.55,9.1,4.4
2025-01-19,Jeans,Clothing,East,6,354.24,1.6,3.9
2025-01-20,Coffee Beans,Food,North,111,1536.46,23.1,4.5
2025-01-21,Smartphone,Electronics,West,7,4323.2,22.8,2.6
2025-01-22,Desk Lamp,Home,South,31,1220.63,12.5,2.1
2025-01-23,Desk Lamp,Home,North,137,5394.38,12.5,3.7
2025-01-24,Smartphone,Electronics,Central,17,12947.2,4.8,2.8
2025-01-25,Headphones,Electronics,West,131,16309.5,17,3.7
2025-01-26,Jeans,Clothing,South,1,57.42,4.3,1.6
2025-01-27,T-Shirt,Clothing,South,5,95,24,3.3
2025-01-28,Coffee Beans,Food,West,91,1043.41,36.3,1.7
2025-01-29,T-Shirt,Clothing,Central,135,3250.13,3.7,4.5
2025-01-30,Wireless Mouse,Electronics,West,116,2614.64,35.6,4.5
2025-01-31,Desk Lamp,Home,West,49,1431.05,35.1,2.4
2025-01-31,Laptop,Electronics,West,128,131020.8,14.7,4.4
2025-02-01,Smartphone,Electronics,Central,73,43040.8,26.3,2.9
2025-02-01,Wireless Mouse,Electronics,South,85,2284.8,23.2,3
2025-02-02,Smartphone,Electronics,North,71,41691.2,26.6,3.4
